Year,Month,Month_Label,MAU,Search_Traffic_Index,New_Subscribers,Churned_Count,Net_Change,Revenue_USD,Avg_CSAT,Churn_Rate_Pct
2023,1,2023-01,4525096,98.1,219557,222469,-2912,17599388,4.25,4.92
2023,2,2023-02,4531805,101.6,194456,221785,-27329,17985689,4.11,4.89
2023,3,2023-03,4449354,100.0,179473,229978,-50505,17261428,4.23,5.17
2023,4,2023-04,4508089,98.9,260484,224188,36296,18590333,4.1,4.97
2023,5,2023-05,4347523,93.8,210882,239472,-28590,16790970,4.24,5.51
2023,6,2023-06,4125293,84.4,162244,257790,-95546,17074580,4.12,6.25
2023,7,2023-07,3987641,79.9,198189,267485,-69296,16705212,4.03,6.71
2023,8,2023-08,3784683,73.3,186386,279475,-93089,15686313,4.02,7.38
2023,9,2023-09,3501822,62.2,127633,291605,-163972,13712281,3.84,8.33
2023,10,2023-10,3101902,54.4,103357,299653,-196296,12575961,3.81,9.66
2023,11,2023-11,2811632,46.8,84339,298817,-214478,11737615,3.79,10.63
2023,12,2023-12,2539643,38.7,88682,292935,-204253,9816639,3.66,11.53
2024,1,2024-01,2383114,36.6,71569,287315,-215746,9708439,3.69,12.06
2024,2,2024-02,2119679,30.9,40899,274167,-233268,8322247,3.51,12.93
2024,3,2024-03,1792976,29.8,47357,251436,-204079,7038996,3.53,14.02
2024,4,2024-04,1601213,25.7,30633,234779,-204146,6254264,3.39,14.66
2024,5,2024-05,1406046,25.0,25277,210906,-185629,5847928,3.36,15.0
2024,6,2024-06,1350000,25.0,22390,202500,-180110,5179091,3.23,15.0
