Student_ID,Country,Age_Group,Education_Level,Acquisition_Source,Registration_Date,Registration_Month,Registration_Year,Month_Label,Is_Active
STU_00001,India,23-27,Undergraduate,Organic Search,2024-03-16,3,2024,2024-03,1
STU_00002,Canada,18-22,Undergraduate,Organic Search,2024-06-28,6,2024,2024-06,1
STU_00003,United States,23-27,Postgraduate,Referral,2023-10-31,10,2023,2023-10,1
STU_00004,United States,28+,Undergraduate,Social Media,2023-09-03,9,2023,2023-09,1
STU_00005,India,18-22,Postgraduate,Organic Search,2023-05-15,5,2023,2023-05,1
STU_00006,Canada,23-27,PhD,Referral,2023-06-03,6,2023,2023-06,1
STU_00007,India,18-22,Postgraduate,Social Media,2023-06-23,6,2023,2023-06,1
STU_00008,United States,18-22,Undergraduate,Organic Search,2022-12-14,12,2022,2022-12,1
STU_00009,Canada,18-22,Undergraduate,Social Media,2023-01-25,1,2023,2023-01,1
STU_00010,India,18-22,Other,Referral,2023-05-30,5,2023,2023-05,0
STU_00011,United States,18-22,Undergraduate,Organic Search,2022-11-23,11,2022,2022-11,0
STU_00012,United States,23-27,PhD,Referral,2024-05-05,5,2024,2024-05,1
STU_00013,United Kingdom,18-22,Undergraduate,Social Media,2022-07-03,7,2022,2022-07,0
STU_00014,India,23-27,Undergraduate,Social Media,2024-06-05,6,2024,2024-06,1
STU_00015,India,23-27,Postgraduate,Referral,2023-02-27,2,2023,2023-02,1
STU_00016,India,18-22,Other,Paid Ad,2024-01-19,1,2024,2024-01,1
STU_00017,Canada,18-22,Undergraduate,Referral,2022-07-19,7,2022,2022-07,0
STU_00018,India,28+,Postgraduate,Email Campaign,2023-06-30,6,2023,2023-06,0
STU_00019,United States,18-22,PhD,Referral,2022-06-12,6,2022,2022-06,0
STU_00020,India,18-22,Undergraduate,Email Campaign,2023-05-15,5,2023,2023-05,0
STU_00021,Others,23-27,Postgraduate,Organic Search,2023-02-25,2,2023,2023-02,0
STU_00022,United States,18-22,Undergraduate,Organic Search,2024-03-16,3,2024,2024-03,0
STU_00023,Australia,23-27,Undergraduate,Organic Search,2023-11-26,11,2023,2023-11,1
STU_00024,India,18-22,Postgraduate,Organic Search,2023-04-11,4,2023,2023-04,0
STU_00025,Others,23-27,Undergraduate,Referral,2022-08-10,8,2022,2022-08,0
STU_00026,India,28+,Undergraduate,Organic Search,2022-11-17,11,2022,2022-11,1
STU_00027,United States,23-27,Undergraduate,Referral,2024-06-17,6,2024,2024-06,1
STU_00028,United States,18-22,Undergraduate,Organic Search,2023-11-12,11,2023,2023-11,1
STU_00029,India,18-22,Postgraduate,Organic Search,2024-01-24,1,2024,2024-01,0
STU_00030,India,18-22,Postgraduate,Organic Search,2023-05-05,5,2023,2023-05,1
STU_00031,United States,18-22,Undergraduate,Paid Ad,2024-01-06,1,2024,2024-01,1
STU_00032,India,18-22,Undergraduate,Referral,2024-04-05,4,2024,2024-04,1
STU_00033,India,18-22,Undergraduate,Social Media,2024-03-23,3,2024,2024-03,1
STU_00034,United States,18-22,Undergraduate,Paid Ad,2022-12-12,12,2022,2022-12,0
STU_00035,India,28+,Postgraduate,Organic Search,2022-08-17,8,2022,2022-08,0
STU_00036,Others,28+,PhD,Organic Search,2022-06-16,6,2022,2022-06,1
STU_00037,Canada,28+,Undergraduate,Organic Search,2023-01-05,1,2023,2023-01,1
STU_00038,India,23-27,Postgraduate,Referral,2023-09-09,9,2023,2023-09,1
STU_00039,India,18-22,Other,Paid Ad,2023-10-12,10,2023,2023-10,1
STU_00040,India,23-27,Postgraduate,Social Media,2023-04-18,4,2023,2023-04,1
STU_00041,India,18-22,Postgraduate,Referral,2023-11-03,11,2023,2023-11,1
STU_00042,Australia,23-27,Postgraduate,Organic Search,2022-10-01,10,2022,2022-10,1
STU_00043,United States,23-27,Other,Organic Search,2024-04-04,4,2024,2024-04,1
