Sub_ID,Student_ID,Country,Age_Group,Education_Level,Plan_Type,Plan_Price_USD,Sub_Start_Date,Sub_End_Date,Sub_Start_Month,Sub_Start_Year,Churned,Churn_Reason,Churn_Date,Days_Active,Renewal_Number,Revenue_USD
SUB_00001,STU_00001,India,23-27,Undergraduate,Quarterly,19.99,2024-04-06,2024-04-22,2024-04,2024,Yes,Not Useful Anymore,2024-04-22,16,1,3.55
SUB_00002,STU_00003,United States,23-27,Postgraduate,Monthly,9.99,2023-11-08,2023-11-28,2023-11,2023,Yes,Found Better Alternative,2023-11-28,20,1,6.66
SUB_00003,STU_00004,United States,28+,Undergraduate,Monthly,9.99,2023-09-12,2023-10-12,2023-09,2023,No,,,30,1,9.99
SUB_00004,STU_00004,United States,28+,Undergraduate,Monthly,9.99,2023-10-12,2023-10-19,2023-10,2023,Yes,Price Too High,2023-10-19,7,2,2.33
SUB_00005,STU_00005,India,18-22,Postgraduate,Monthly,9.99,2023-06-09,2023-07-09,2023-06,2023,No,,,30,1,9.99
SUB_00006,STU_00006,Canada,23-27,PhD,Monthly,9.99,2023-06-23,2023-07-08,2023-06,2023,Yes,Price Too High,2023-07-08,15,1,5.0
SUB_00007,STU_00007,India,18-22,Postgraduate,Quarterly,19.99,2023-07-03,2023-10-01,2023-07,2023,No,,,90,1,19.99
SUB_00008,STU_00007,India,18-22,Postgraduate,Quarterly,19.99,2023-10-01,2023-12-30,2023-10,2023,No,,,90,2,19.99
SUB_00009,STU_00007,India,18-22,Postgraduate,Quarterly,19.99,2023-12-30,2024-01-31,2023-12,2023,Yes,Exam Season Over,2024-01-31,32,3,7.11
SUB_00010,STU_00008,United States,18-22,Undergraduate,Monthly,9.99,2023-01-11,2023-02-10,2023-01,2023,No,,,30,1,9.99
SUB_00011,STU_00009,Canada,18-22,Undergraduate,Monthly,9.99,2023-02-06,2023-03-08,2023-02,2023,No,,,30,1,9.99
SUB_00012,STU_00009,Canada,18-22,Undergraduate,Monthly,9.99,2023-03-08,2023-04-07,2023-03,2023,No,,,30,2,9.99
SUB_00013,STU_00009,Canada,18-22,Undergraduate,Monthly,9.99,2023-04-07,2023-04-30,2023-04,2023,Yes,Price Too High,2023-04-30,23,3,7.66
SUB_00014,STU_00010,India,18-22,Other,Monthly,9.99,2023-06-23,2023-07-23,2023-06,2023,No,,,30,1,9.99
SUB_00015,STU_00011,United States,18-22,Undergraduate,Quarterly,19.99,2022-12-16,2023-03-16,2022-12,2022,No,,,90,1,19.99
